Entity,Code,Year,Fossil fuels (% growth)
South America,,1994,6.508421897888184
South America,,1995,4.801774024963379
South America,,1996,3.9740443229675293
South America,,1997,5.440628528594971
South America,,1998,4.256331920623779
South America,,1999,0.808405876159668
South America,,2000,-0.1800060272216797
South America,,2001,0.6750583648681641
South America,,2002,-0.3134310245513916
South America,,2003,-0.21065473556518555
South America,,2004,6.532907485961914
South America,,2005,2.4687767028808594
South America,,2006,4.052019119262695
South America,,2007,5.659186840057373
South America,,2008,2.9613733291625977
South America,,2009,-2.8585612773895264
South America,,2010,8.189666748046875
South America,,2011,4.233825206756592
South America,,2012,5.366384983062744
South America,,2013,4.632890224456787
South America,,2014,1.3952255249023438
South America,,2015,-1.7298460006713867
South America,,2016,-3.677624464035034
South America,,2017,-0.44146180152893066
South America,,2018,-3.7831008434295654
South America,,2019,-2.6901543140411377
South America,,2020,-10.257816314697266
South America,,2021,10.500359535217285
South Korea,KOR,1966,20.81844711303711
South Korea,KOR,1967,15.492916107177734
South Korea,KOR,1968,15.084039688110352
South Korea,KOR,1969,19.984615325927734
South Korea,KOR,1970,16.950416564941406
South Korea,KOR,1971,8.196676254272461
South Korea,KOR,1972,3.6779165267944336
South Korea,KOR,1973,24.33614730834961
South Korea,KOR,1974,3.2357335090637207
South Korea,KOR,1975,10.463523864746094
South Korea,KOR,1976,11.979246139526367
South Korea,KOR,1977,15.586053848266602
South Korea,KOR,1978,9.912323951721191
South Korea,KOR,1979,14.740657806396484
South Korea,KOR,1980,3.0719399452209473
South Korea,KOR,1981,4.777765274047852
South Korea,KOR,1982,0.07009506225585938
South Korea,KOR,1983,5.451488494873047
South Korea,KOR,1984,8.357894897460938
South Korea,KOR,1985,7.974386215209961
South Korea,KOR,1986,7.704734802246094
South Korea,KOR,1987,6.91831111907959
South Korea,KOR,1988,14.36506462097168
South Korea,KOR,1989,6.963062286376953
South Korea,KOR,1990,12.897562980651855
South Korea,KOR,1991,14.787912368774414
South Korea,KOR,1992,14.932071685791016
South Korea,KOR,1993,10.373234748840332
South Korea,KOR,1994,9.211564064025879
South Korea,KOR,1995,8.585893630981445
South Korea,KOR,1996,10.555362701416016
South Korea,KOR,1997,10.544633865356445
South Korea,KOR,1998,-11.683761596679688
South Korea,KOR,1999,8.156574249267578
South Korea,KOR,2000,5.831027030944824
South Korea,KOR,2001,2.716052532196045
South Korea,KOR,2002,4.330074787139893
South Korea,KOR,2003,2.188742160797119
South Korea,KOR,2004,2.787494659423828
South Korea,KOR,2005,2.1198511123657227
South Korea,KOR,2006,1.8158674240112305
South Korea,KOR,2007,4.280245304107666
South Korea,KOR,2008,1.08717679977417
South Korea,KOR,2009,1.0614991188049316
South Korea,KOR,2010,9.242046356201172
South Korea,KOR,2011,4.704582691192627
South Korea,KOR,2012,1.873767375946045
South Korea,KOR,2013,1.3254046440124512
South Korea,KOR,2014,-0.7675290107727051
South Korea,KOR,2015,1.1418819427490234
South Korea,KOR,2016,3.5273075103759766
South Korea,KOR,2017,2.057814598083496
South Korea,KOR,2018,2.7001023292541504
South Korea,KOR,2019,-2.6831507682800293
South Korea,KOR,2020,-6.044286727905273
South Korea,KOR,2021,5.143308639526367
South and Central America (BP),,1966,5.190300941467285
South and Central America (BP),,1967,3.6455273628234863
South and Central America (BP),,1968,6.005585193634033
South and Central America (BP),,1969,3.9945602416992188
South and Central America (BP),,1970,5.217719078063965
South and Central America (BP),,1971,4.175925254821777
South and Central America (BP),,1972,7.089054584503174
South and Central America (BP),,1973,9.765958786010742
South and Central America (BP),,1974,3.900003433227539
South and Central America (BP),,1975,0.039076805114746094
South and Central America (BP),,1976,5.83726167678833
South and Central America (BP),,1977,5.265569686889648
South and Central America (BP),,1978,3.9142727851867676
South and Central America (BP),,1979,5.033111572265625
South and Central America (BP),,1980,2.8447508811950684
South and Central America (BP),,1981,-0.48854947090148926
South and Central America (BP),,1982,-1.0558724403381348
South and Central America (BP),,1983,-1.6970515251159668
South and Central America (BP),,1984,2.2429704666137695
South and Central America (BP),,1985,0.7670879364013672
South and Central America (BP),,1986,5.179548263549805
South and Central America (BP),,1987,2.6987314224243164
South and Central America (BP),,1988,3.284764289855957
South and Central America (BP),,1989,1.3599157333374023
South and Central America (BP),,1990,-1.1041700839996338
South and Central America (BP),,1991,1.4780879020690918
South and Central America (BP),,1992,5.890035629272461
South and Central America (BP),,1993,2.5972962379455566
South and Central America (BP),,1994,6.489777565002441
